id,predinctK,pct_65,pct_18_29,pct_male,pct_black,pct_american_indian,pct_hispanic,pct_asian,pct_bach,pct_smoking,median_income,population_density,pct_yes,pct_65_Z_SCORE,pct_18_29_Z_SCORE,pct_male_Z_SCORE,pct_black_Z_SCORE,pct_american_indian_Z_SCORE,pct_hispanic_Z_SCORE,pct_asian_Z_SCORE,pct_bach_Z_SCORE,pct_smoking_Z_SCORE,median_income_Z_SCORE,population_density_Z_SCORE,pct_yes_Z_SCORE,Shape_Length,Shape_Area,longitude,latitude
21,ALA28,0.206408334316741,0.109961467602932,0.465308861129221,0.646290179177845,0.000293148704511,0.032982006844825,0.000000360408465,0.166386076198120,0.206005218334836,42060.643799668883730,297.718533592302606,0.772067039106145,-0.157323566641586,-0.352994999754156,-0.656640181629645,2.838474181714995,-0.160914419077335,-0.958952721125902,-0.880186101410192,-0.645909603639805,1.499905400525519,-1.213714115546935,-0.647322571598457,1.984163880555416,0.155961238108068,0.001100649821171,-82.298488262826083,29.628080388689575
22,ALA29,0.213748086508358,0.078953744489406,0.508830435955313,0.020053946066639,0.000002066609589,0.112314263526820,0.127669606747698,0.540651339994673,0.065961602779820,146356.672544923610985,288.615835351989631,0.600940975192472,-0.103211696352796,-0.778004078977976,0.418680966661252,-0.706662674711297,-0.212360433663564,-0.610004753571578,3.411505274096305,2.198649169792330,-1.748000620085760,2.232200231994891,-0.653761523392630,0.348132287373930,0.219663033982172,0.001744537804479,-82.466397704539048,29.592563720111198
23,ALA3,0.212957557929645,0.142768666156939,0.415123392526966,0.148432763752289,0.000003187593347,0.104739909640186,0.014336308281993,0.294966531441239,0.126802862544169,82998.759491780467215,79.390901296063589,0.565399580963783,-0.109039819536543,0.096678689549043,-1.896611298036488,0.020092588076269,-0.212162310358240,-0.643321030012232,-0.398273145763466,0.331350904972428,-0.336963829104202,0.138870847868490,-0.801760416573425,0.008342763241672,0.576473292618049,0.005980991851476,-82.511240779549553,29.776978606992447
24,ALA30,0.161533529259662,0.143967736978712,0.550052657064057,0.608335763428274,0.006344254127706,0.044509379202838,0.001932629672772,0.131205225412397,0.242777449691782,41609.145900103765598,167.886873000978738,0.752954417557681,-0.488160298875767,0.113113820371774,1.437190207535072,2.623613413487877,0.908561386183736,-0.908248841975023,-0.815231513092602,-0.913297489825622,2.352730794544415,-1.228631491680177,-0.739161253034985,1.801439800034391,0.325997426854353,0.003443355241305,-82.253958891059241,29.645052588683864
25,ALA31,0.002100099633309,0.900092256708157,0.439306467525182,0.102139211286886,0.000531237746464,0.166968028666981,0.111260422331893,0.074274937015771,0.121481484264002,18843.030788321721047,2356.479697242466500,0.742512640995722,-1.663573424334013,10.476976550059923,-1.299101394495598,-0.241976213412035,-0.118834426735802,-0.369606697818568,2.859899016084233,-1.345989398473261,-0.460377784718033,-1.980818163073913,0.808977916288828,1.701612363151801,0.111252717807721,0.000528526868413,-82.357411277972687,29.642434996430630
26,ALA32,0.086058350452428,0.541705658320298,0.495907395722790,0.146740161734453,0.000003905847122,0.195643810189370,0.033657809556716,0.269341436834222,0.119325005094146,36966.609286575519945,1111.333219082810501,0.752208989627353,-1.044596399035197,5.564730732161203,0.099381434928447,0.010510731455039,-0.212035365778632,-0.243474452263265,0.251232688728856,0.136590410918023,-0.510391072730750,-1.382019724367542,-0.071798084177426,1.794313219684408,0.162714251556493,0.000672608695694,-82.389934585559516,29.650985055953068
27,ALA33,0.149294376363015,0.208836553254941,0.502065517887345,0.423978430360931,0.004536735661230,0.070172031153637,0.017232413583393,0.182827410985264,0.215811248949655,44312.175782508849807,302.565684882199321,0.753762793497893,-0.578392698648664,1.002241853892970,0.251534913375982,1.579962564729919,0.589099547021361,-0.795370038133836,-0.300918532174298,-0.520949187486607,1.727327877058597,-1.139324069665437,-0.643893854895921,1.809168187791974,0.295485215362705,0.001938829257264,-82.273181794124554,29.688077003951033
28,ALA34,0.240108714639862,0.153342056293717,0.512765892744400,0.205808159824953,0.000341522546380,0.046793060349404,0.006595869033344,0.171431379059755,0.174040754908890,56282.763381743316131,18.288502166732787,0.594099694811801,0.091130408522631,0.241603448772847,0.515917335758670,0.344895945842281,-0.152364798823131,-0.898203925468603,-0.658473447077939,-0.607563377291943,0.758582257765357,-0.743818890293158,-0.844982260483363,0.282726991508317,0.673624570564454,0.012852834314814,-82.265882787268708,29.742902556326648
29,ALA35,0.266451860322800,0.227627260431852,0.464686053427472,0.171511116365837,0.000163897092162,0.152279398639801,0.024194125460009,0.366344958502910,0.128031023984679,81869.918800677653053,74.252350169636998,0.692676249144422,0.285343625124387,1.259797725569970,-0.672028372330116,0.150739641232904,-0.183758422367824,-0.434215569524909,-0.066895698356936,0.873854178913540,-0.308480181912547,0.101574237629750,-0.805395260014508,1.225157113178716,0.549256606029970,0.005662226257361,-82.330633343733098,29.588890868592475
30,ALA36,0.069200751674603,0.550711250663772,0.470546164355781,0.177857699365360,0.000265319136146,0.192947816535648,0.035256724900069,0.246399046112455,0.125350801827175,36091.924216997089388,1306.314426925250700,0.791247484909457,-1.168878006183718,5.688166383845521,-0.527238087563983,0.186667784822103,-0.165833032777870,-0.255332951508745,0.304981350885123,-0.037780510254575,-0.370640171480301,-1.410919097307263,0.066125261727523,2.167536387278605,0.119207153731191,0.000254546708244,-82.399305761122676,29.642345685153625
